date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:21:22	246/246	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Jan%202019%2020:21:21%20GMT	http://t.commonsupport.com/robots.txt		(from )
21:21:23	127039/127039	---MCZ	200	added ('OK')	text/html	etag:W/%223a6056-1f03f-575c6be67c780%22	http://t.commonsupport.com/woodex/?fbclid=IwAR0Yh2QS9x379sUSX9iFGJrFHw7xqJbjNmscOxFJL3NbWKySYK1JYOBTtxg	/Users/iyadh/websites/SiteINAT/t.commonsupport.com/woodex/index39e2.html	(from )
21:21:23	121200/121200	---MCZ	200	added ('OK')	text/css	etag:W/%223a5c38-1d970-5387b234dfe00%22	http://t.commonsupport.com/woodex/css/bootstrap.css	/Users/iyadh/websites/SiteINAT/t.commonsupport.com/woodex/css/bootstrap.css	(from http://t.commonsupport.com/woodex/?fbclid=IwAR0Yh2QS9x379sUSX9iFGJrFHw7xqJbjNmscOxFJL3NbWKySYK1JYOBTtxg)
21:21:25	30101/30101	---MCZ	200	added ('OK')	text/css	etag:W/%2247c35a-7595-55485f5c0f380%22	http://t.commonsupport.com/woodex/plugins/revolution/css/settings.css	/Users/iyadh/websites/SiteINAT/t.commonsupport.com/woodex/plugins/revolution/css/settings.css	(from http://t.commonsupport.com/woodex/?fbclid=IwAR0Yh2QS9x379sUSX9iFGJrFHw7xqJbjNmscOxFJL3NbWKySYK1JYOBTtxg)
21:21:25	146597/146597	---MCZ	200	added ('OK')	text/css	etag:W/%2247c33b-23ca5-55473c0ca2a00%22	http://t.commonsupport.com/woodex/plugins/revolution/css/layers.css	/Users/iyadh/websites/SiteINAT/t.commonsupport.com/woodex/plugins/revolution/css/layers.css	(from http://t.commonsupport.com/woodex/?fbclid=IwAR0Yh2QS9x379sUSX9iFGJrFHw7xqJbjNmscOxFJL3NbWKySYK1JYOBTtxg)
21:21:26	59576/59576	---MCZ	200	added ('OK')	text/css	etag:W/%2247c33d-e8b8-55473c0ca2a00%22	http://t.commonsupport.com/woodex/plugins/revolution/css/navigation.css	/Users/iyadh/websites/SiteINAT/t.commonsupport.com/woodex/plugins/revolution/css/navigation.css	(from http://t.commonsupport.com/woodex/?fbclid=IwAR0Yh2QS9x379sUSX9iFGJrFHw7xqJbjNmscOxFJL3NbWKySYK1JYOBTtxg)
21:21:28	143798/143798	---MCZ	200	added ('OK')	text/css	etag:W/%223a6050-231b6-575c690fc9500%22	http://t.commonsupport.com/woodex/css/style.css	/Users/iyadh/websites/SiteINAT/t.commonsupport.com/woodex/css/style.css	(from http://t.commonsupport.com/woodex/?fbclid=IwAR0Yh2QS9x379sUSX9iFGJrFHw7xqJbjNmscOxFJL3NbWKySYK1JYOBTtxg)
21:21:28	20750/20750	---MCZ	200	added ('OK')	text/css	etag:W/%223a604f-510e-575c6b9e01c80%22	http://t.commonsupport.com/woodex/css/responsive.css	/Users/iyadh/websites/SiteINAT/t.commonsupport.com/woodex/css/responsive.css	(from http://t.commonsupport.com/woodex/?fbclid=IwAR0Yh2QS9x379sUSX9iFGJrFHw7xqJbjNmscOxFJL3NbWKySYK1JYOBTtxg)
21:21:29	3057/3057	---MCZ	200	added ('OK')	text/css	etag:W/%223a5c39-bf1-5603f4649c880%22	http://t.commonsupport.com/woodex/css/color-switcher-design.css	/Users/iyadh/websites/SiteINAT/t.commonsupport.com/woodex/css/color-switcher-design.css	(from http://t.commonsupport.com/woodex/?fbclid=IwAR0Yh2QS9x379sUSX9iFGJrFHw7xqJbjNmscOxFJL3NbWKySYK1JYOBTtxg)
21:21:30	7073/7073	---MCZ	200	added ('OK')	text/css	etag:W/%223a5c3b-1ba1-5603f6435b200%22	http://t.commonsupport.com/woodex/css/color-themes/default-theme.css	/Users/iyadh/websites/SiteINAT/t.commonsupport.com/woodex/css/color-themes/default-theme.css	(from http://t.commonsupport.com/woodex/?fbclid=IwAR0Yh2QS9x379sUSX9iFGJrFHw7xqJbjNmscOxFJL3NbWKySYK1JYOBTtxg)
